2014_01_20_06,37.4,-9999.0,Unknown
2014_01_20_07,37.4,-9999.0,Unknown
2014_01_20_08,39.2,-9999.0,Unknown
2014_01_20_09,39.2,-9999.0,Unknown
2014_01_20_10,39.2,-9999.0,Unknown
2014_01_20_11,41.0,-9999.0,Unknown
2014_01_20_12,44.6,-9999.0,Unknown
2014_01_20_13,44.6,-9999.0,Unknown
2014_01_20_14,44.6,-9999.0,Unknown
2014_01_20_15,42.8,-9999.0,Unknown
2014_01_20_16,42.8,-9999.0,Unknown
2014_01_20_17,42.8,-9999.0,Unknown
2014_01_20_18,41.0,-9999.0,Unknown
2014_01_20_19,39.2,-9999.0,Unknown
2014_01_20_20,39.2,-9999.0,Unknown
2014_01_20_21,35.6,-9999.0,Unknown
2014_01_20_22,33.8,-9999.0,Unknown
2014_01_20_23,33.8,-9999.0,Unknown
2014_01_21_00,33.8,-9999.0,Unknown
2014_01_21_01,35.6,-9999.0,Unknown
2014_01_21_02,26.6,-9999.0,Unknown
2014_01_21_03,26.6,-9999.0,Unknown
2014_01_21_04,26.6,-9999.0,Unknown
2014_01_21_05,26.6,-9999.0,Unknown
2014_01_21_06,24.8,-9999.0,Unknown
2014_01_21_07,24.8,-9999.0,Unknown
2014_01_21_08,24.8,-9999.0,Unknown
2014_01_21_09,21.2,-9999.0,Unknown
2014_01_21_10,21.2,-9999.0,Unknown
2014_01_21_11,19.4,-9999.0,Unknown
2014_01_21_12,17.6,-9999.0,Unknown
2014_01_21_13,15.8,-9999.0,Unknown
2014_01_21_14,15.8,-9999.0,Unknown
2014_01_21_15,15.8,-9999.0,Unknown
2014_01_21_16,15.8,-9999.0,Unknown
2014_01_21_17,15.8,-9999.0,Unknown
2014_01_21_18,14.0,-9999.0,Unknown
2014_01_21_19,14.0,-9999.0,Unknown
2014_01_21_20,12.2,-9999.0,Unknown
2014_01_21_21,12.2,-9999.0,Unknown
2014_01_21_22,12.2,-9999.0,Unknown
2014_01_21_23,12.2,-9999.0,Unknown
2014_01_22_00,12.2,-9999.0,Unknown
2014_01_22_01,12.2,-9999.0,Unknown
2014_01_22_02,10.4,-9999.0,Unknown
2014_01_22_03,10.4,-9999.0,Unknown
2014_01_22_04,8.6,-9999.0,Unknown
2014_01_22_05,8.6,-9999.0,Unknown
2014_01_22_06,8.6,-9999.0,Unknown
2014_01_22_07,6.8,-9999.0,Unknown
2014_01_22_08,6.8,-9999.0,Unknown
2014_01_22_09,8.6,-9999.0,Unknown
2014_01_22_10,10.4,-9999.0,Unknown
2014_01_22_11,12.2,-9999.0,Unknown
2014_01_22_12,15.8,-9999.0,Unknown
2014_01_22_13,17.6,-9999.0,Unknown
2014_01_22_14,17.6,-9999.0,Unknown
2014_01_22_15,17.6,-9999.0,Unknown
2014_01_22_16,17.6,-9999.0,Unknown
2014_01_22_17,15.8,-9999.0,Unknown
2014_01_22_18,15.8,-9999.0,Unknown
2014_01_22_19,14.0,-9999.0,Unknown
2014_01_22_20,12.2,-9999.0,Unknown
2014_01_22_21,14.0,-9999.0,Unknown
2014_01_22_22,10.4,-9999.0,Unknown
2014_01_22_23,10.4,-9999.0,Unknown
2014_01_23_00,10.4,-9999.0,Unknown
2014_01_23_01,8.6,-9999.0,Unknown
2014_01_23_02,8.6,-9999.0,Unknown
2014_01_23_03,8.6,-9999.0,Unknown
2014_01_23_04,8.6,-9999.0,Unknown
2014_01_23_05,8.6,-9999.0,Unknown
2014_01_23_06,8.6,-9999.0,Unknown
2014_01_23_07,8.6,-9999.0,Unknown
2014_01_23_08,10.4,-9999.0,Unknown
2014_01_23_09,12.2,-9999.0,Unknown
2014_01_23_10,15.8,-9999.0,Unknown
2014_01_23_11,17.6,-9999.0,Unknown
2014_01_23_12,17.6,-9999.0,Unknown
2014_01_23_13,19.4,-9999.0,Unknown
2014_01_23_14,19.4,-9999.0,Unknown
2014_01_23_15,19.4,-9999.0,Unknown
2014_01_23_17,19.4,-9999.0,Unknown
2014_01_23_18,19.4,-9999.0,Unknown
2014_01_23_19,17.6,-9999.0,Unknown
2014_01_23_20,17.6,-9999.0,Unknown
2014_01_23_22,15.8,-9999.0,Unknown
2014_01_23_23,15.8,-9999.0,Unknown
2014_01_24_00,14.0,-9999.0,Unknown
2014_01_24_01,14.0,-9999.0,Unknown
2014_01_24_02,12.2,-9999.0,Unknown
2014_01_24_03,12.2,-9999.0,Unknown
2014_01_24_04,10.4,-9999.0,Unknown
2014_01_24_05,12.2,-9999.0,Unknown
2014_01_24_06,10.4,-9999.0,Unknown
2014_01_24_07,10.4,-9999.0,Unknown
2014_01_24_08,10.4,-9999.0,Unknown
2014_01_24_09,10.4,-9999.0,Unknown
